127.0.0.1:62049     	04/12/2019-17:43:38	GET_BOARDS       	OK
127.0.0.1:62049     	04/12/2019-17:43:43	UNDEFINED_COMMAND	ERROR
127.0.0.1:62049     	04/12/2019-17:43:46	UNDEFINED_COMMAND	ERROR
127.0.0.1:62049     	04/12/2019-17:43:48	UNDEFINED_COMMAND	ERROR
127.0.0.1:62049     	04/12/2019-17:43:50	GET_MESSAGES     	OK
127.0.0.1:62049     	04/12/2019-17:43:52	GET_MESSAGES     	OK
127.0.0.1:62049     	04/12/2019-17:43:55	GET_MESSAGES     	OK
127.0.0.1:62049     	04/12/2019-17:44:00	GET_MESSAGES     	OK
127.0.0.1:62049     	04/12/2019-17:44:03	GET_MESSAGES     	ERROR
127.0.0.1:62049     	04/12/2019-17:44:14	GET_MESSAGES     	ERROR
127.0.0.1:62049     	04/12/2019-17:44:30	POST_MESSAGE     	OK
127.0.0.1:62049     	04/12/2019-17:44:43	POST_MESSAGE     	ERROR
127.0.0.1:62049     	04/12/2019-17:44:57	QUIT             	OK
127.0.0.1:62053     	04/12/2019-17:45:27	GET_BOARDS       	OK
127.0.0.1:62053     	04/12/2019-17:45:36	QUIT             	OK
127.0.0.1:62060     	04/12/2019-17:47:15	GET_BOARDS       	ERROR
127.0.0.1:62061     	04/12/2019-17:47:47	GET_BOARDS       	ERROR
127.0.0.1:62107     	04/12/2019-17:56:43	GET_BOARDS       	ERROR
127.0.0.1:62153     	04/12/2019-18:03:06	GET_BOARDS       	ERROR
127.0.0.1:62164     	04/12/2019-18:05:32	GET_BOARDS       	ERROR
127.0.0.1:62174     	04/12/2019-18:06:45	GET_BOARDS       	ERROR
127.0.0.1:62175     	04/12/2019-18:06:51	GET_BOARDS       	ERROR
127.0.0.1:62179     	04/12/2019-18:07:29	GET_BOARDS       	OK
127.0.0.1:62179     	04/12/2019-18:07:32	QUIT             	OK
127.0.0.1:62182     	04/12/2019-18:08:21	GET_BOARDS       	ERROR
127.0.0.1:62183     	04/12/2019-18:08:42	GET_BOARDS       	ERROR
127.0.0.1:62185     	04/12/2019-18:08:56	GET_BOARDS       	OK
127.0.0.1:62185     	04/12/2019-18:08:59	QUIT             	OK
127.0.0.1:62192     	04/12/2019-18:10:21	GET_BOARDS       	OK
127.0.0.1:62192     	04/12/2019-18:10:25	UNDEFINED_COMMAND	ERROR
127.0.0.1:62192     	04/12/2019-18:10:27	QUIT             	OK
127.0.0.1:62193     	04/12/2019-18:10:38	GET_BOARDS       	OK
127.0.0.1:62193     	04/12/2019-18:10:53	QUIT             	OK
